City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
500,Garowe,SO,75.7,broken clouds,8.4054,48.4845,Curubo Hotel
503,Phan Thiet,VN,85.53,overcast clouds,10.9333,108.1,Hotel Saigon-PT
505,Lasem,ID,88.11,broken clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
507,Manggar,ID,85.41,broken clouds,-2.8833,108.2667,Guest Hotel
509,Khuzdar,PK,75.29,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
510,Ransang,PH,82.29,light rain,8.9603,117.5828,Black and Crystal Sand Campsite
512,Honiara,SB,83.07,overcast clouds,-9.4333,159.95,Heritage Park Hotel
523,Vanimo,PG,86.99,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
529,Phalodi,IN,83.12,broken clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
530,Ushtobe,KZ,75.45,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
533,Kazerun,IR,80.49,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
536,Dingle,PH,79.18,light rain,10.9995,122.6711,SEGAYA PROPERTY
537,Port Moresby,PG,89.02,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
542,Ragay,PH,84.11,overcast clouds,13.8183,122.7923,Rica Richwhite lodge / food and bar
544,Namatanai,PG,85.73,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
548,Pimenta Bueno,BR,80.02,clear sky,-11.6725,-61.1936,Cristalina Palace Hotel
549,Morgan City,US,81.0,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
550,Capaci,IT,78.75,clear sky,38.1711,13.2393,Hotel Sirenetta
552,Marawi,PH,80.08,broken clouds,7.9986,124.2928,Derogongan Residence
553,Chenzhou,CN,83.59,clear sky,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
560,Sao Gabriel Da Cachoeira,BR,76.26,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
