City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Petauke,ZM,-14.2426,31.3253,66.25,49,6,5.28,clear sky
285,Darnah,LY,32.767,22.6367,70.68,67,0,3.58,clear sky
286,Sola,VU,-13.8833,167.55,81.52,74,16,12.62,few clouds
287,Wawa,NG,9.9022,4.4192,73.94,92,100,5.17,light rain
288,Onega,RU,63.9061,38.1404,43.39,92,100,7.07,overcast clouds
289,Shelburne,CA,44.0787,-80.2041,53.76,97,65,10.04,broken clouds
290,Chikhli,IN,20.35,76.25,75.09,83,74,8.7,broken clouds
291,Kavieng,PG,-2.5744,150.7967,85.06,68,7,10.89,clear sky
292,Gamba,GA,-2.65,10.0,73.65,93,100,6.42,moderate rain
293,Port Macquarie,AU,-31.4333,152.9167,68.9,65,93,7.02,overcast clouds
294,Lata,PT,40.1629,-8.3327,60.08,53,0,5.84,clear sky
295,Bitam,GA,2.076,11.5007,68.18,99,100,2.8,overcast clouds
296,Faanui,PF,-16.4833,-151.75,78.24,76,13,21.47,light rain
297,Evanston,US,42.0411,-87.6901,57.38,84,75,11.5,broken clouds
298,San Ramon,US,37.7799,-121.978,78.6,65,0,10.36,clear sky
299,Zhangjiakou,CN,40.81,114.8794,72.14,28,0,2.57,clear sky
300,Banjar,ID,-8.19,114.9675,85.95,59,97,6.06,overcast clouds
301,Brae,GB,60.3964,-1.353,46.27,77,100,23.26,light rain
302,Labis,MY,2.385,103.021,85.77,66,66,6.04,broken clouds
303,Poum,NC,-20.2333,164.0167,76.59,75,1,11.97,clear sky
304,Carmen,MX,18.6333,-91.8333,81.23,79,11,12.12,few clouds
305,Marystown,CA,47.1666,-55.1483,51.85,100,1,13.94,clear sky
306,Abeche,TD,13.8292,20.8324,77.92,70,100,2.57,overcast clouds
307,Izumo,JP,35.3667,132.7667,80.55,65,75,3.44,broken clouds
308,Banyo,CM,6.75,11.8167,64.26,95,100,1.25,light rain
309,Pangnirtung,CA,66.1451,-65.7125,38.37,51,100,1.54,overcast clouds
310,Nouakchott,MR,18.0858,-15.9785,80.42,80,100,0.81,light rain
311,Hun,LY,29.1268,15.9477,75.2,37,0,5.46,clear sky
312,Am Timan,TD,11.0297,20.2827,70.14,85,99,4.61,light rain
313,Miraflores,MX,19.2167,-98.8083,64.02,86,92,3.38,overcast clouds
314,Kenora,CA,49.8167,-94.4337,49.17,87,75,4.61,broken clouds
315,Palmer,US,42.1584,-72.3287,64.24,86,40,9.22,scattered clouds
316,Hervey Bay,AU,-25.2986,152.8535,72.73,53,0,8.48,clear sky
317,Ponta Delgada,PT,37.7333,-25.6667,68.72,73,75,9.22,broken clouds
318,Limbang,MY,4.75,115.0,82.51,57,100,4.47,overcast clouds
319,Ewa Beach,US,21.3156,-158.0072,83.43,74,100,10.36,shower rain
320,Youkounkoun,GN,12.5333,-13.1333,72.99,99,99,3.71,light rain
321,Porto Walter,BR,-8.2686,-72.7439,79.09,62,73,1.66,broken clouds
322,Hamilton,US,39.1834,-84.5333,62.04,80,0,4.61,clear sky
323,Bereda,ES,43.2686,-7.5406,43.14,100,29,2.59,scattered clouds
324,Ehingen,DE,48.2826,9.7275,51.57,94,94,4.21,overcast clouds
325,Kodiak,US,57.79,-152.4072,51.31,82,100,8.05,light rain
326,Sawtell,AU,-30.3833,153.1,73.18,68,99,11.5,overcast clouds
327,Mamakan,RU,57.8161,114.0028,42.26,60,18,3.49,few clouds
328,Teya,RU,60.3778,92.6267,31.66,84,100,4.9,overcast clouds
329,Dobryanka,RU,58.4619,56.4165,34.14,95,100,12.82,snow
330,Sambava,MG,-14.2667,50.1667,70.27,84,74,12.53,light rain
331,Marzuq,YE,14.4,46.4667,75.09,42,51,2.33,broken clouds
332,Jiwani,PK,25.05,61.7417,81.05,79,100,9.55,overcast clouds
333,Saint-Augustin,CA,51.226,-58.6502,45.48,83,7,13.44,clear sky
334,Tarko-Sale,RU,64.9225,77.785,29.39,78,93,19.62,overcast clouds
335,Mankono,CI,8.0586,-6.1897,68.61,99,100,4.38,overcast clouds
336,Tarija,BO,-21.5355,-64.7296,62.51,39,2,5.75,clear sky
337,Husavik,IS,66.0449,-17.3389,37.18,55,69,21.85,broken clouds
338,Aksu,CN,41.1231,80.2644,69.44,30,0,4.92,clear sky
339,Olinda,BR,-8.0089,-34.8553,78.53,69,40,8.05,scattered clouds
340,Tutoia,BR,-2.7619,-42.2744,78.85,80,67,10.92,broken clouds
341,Bowen,AU,-20.0167,148.2333,78.87,59,3,13.82,clear sky
342,Tangzhai,CN,34.4328,116.5911,76.96,43,100,6.62,overcast clouds
343,Belaya Gora,RU,68.5333,146.4167,35.6,65,100,14.52,overcast clouds
344,Menongue,AO,-14.6585,17.691,67.23,65,45,5.39,scattered clouds
345,Sibolga,ID,1.7427,98.7792,82.98,65,100,1.12,overcast clouds
346,Mount Gambier,AU,-37.8333,140.7667,57.11,82,100,6.91,overcast clouds
347,Doka,SD,13.5167,35.7667,70.23,94,13,6.58,few clouds
